epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6989,2.34481,4.00618,1.97038,0.00467,0.08889,0.00328,0.00089,1.64085,3.83631,1.62488,1.667e-05,1.667e-05,1.667e-05
2,11.9908,2.31049,4.02299,1.93143,0.00454,0.08889,0.00279,0.00092,1.69963,3.8452,1.65621,4.90198e-05,4.90198e-05,4.90198e-05
3,13.327,1.94591,3.97251,1.84641,0.00468,0.08889,0.00404,0.0012,1.32502,3.73456,1.40314,8.00493e-05,8.00493e-05,8.00493e-05
4,14.4539,1.51763,3.78055,1.48166,0.01274,0.22222,0.00984,0.00502,1.08906,3.61463,1.23503,0.000109759,0.000109759,0.000109759
5,15.6576,1.19684,3.70485,1.32634,0.02128,0.37778,0.01483,0.00986,1.04341,3.52733,1.15233,0.000138148,0.000138148,0.000138148
6,16.7686,1.04605,3.5963,1.18535,0.02808,0.57778,0.02222,0.01586,1.08335,3.47663,1.12643,0.000165216,0.000165216,0.000165216
7,17.861,0.90393,3.32278,1.04784,0.03468,0.8,0.03772,0.0237,0.99077,3.4073,1.06561,0.000190965,0.000190965,0.000190965
8,18.9278,0.77005,2.79002,0.99353,0.03211,0.75556,0.03478,0.02476,0.99078,3.36954,1.116,0.000215393,0.000215393,0.000215393
9,20.065,0.9221,2.50829,1.02336,0.03824,0.88889,0.04674,0.02803,0.97883,3.3492,1.11595,0.000238501,0.000238501,0.000238501
10,21.229,0.92919,2.20988,1.01502,0.04195,0.95556,0.05284,0.03226,0.95873,3.31327,1.10236,0.000260289,0.000260289,0.000260289
11,22.4705,1.1102,2.26008,1.07566,0.04569,0.97778,0.05288,0.03211,0.93747,3.32996,1.1312,0.000280756,0.000280756,0.000280756
12,23.575,0.73927,1.5395,0.93967,0.03842,0.77778,0.09031,0.06714,0.97318,3.40185,1.17041,0.000299903,0.000299903,0.000299903
13,24.6787,0.77566,1.28337,0.95443,0.0365,0.73333,0.13091,0.08463,1.03253,3.46885,1.22841,0.00031773,0.00031773,0.00031773
14,25.8211,0.77256,1.24396,0.95371,0.03006,0.57778,0.08619,0.05875,1.09873,3.56575,1.31856,0.000334237,0.000334237,0.000334237
15,26.9015,0.78496,1.05042,0.9376,0.02576,0.48889,0.04769,0.03148,1.0553,3.74696,1.39849,0.000349423,0.000349423,0.000349423
16,27.9545,0.80799,1.35354,0.94742,0.02275,0.42222,0.06485,0.04717,1.06529,3.83519,1.45223,0.000363289,0.000363289,0.000363289
17,29.0851,0.70482,1.2017,0.92474,0.01998,0.37778,0.163,0.12075,1.09292,3.79024,1.42798,0.000375835,0.000375835,0.000375835
18,30.1869,0.68417,1.02075,0.92224,1,0.1589,0.3041,0.19036,1.11596,3.66885,1.40678,0.000387061,0.000387061,0.000387061
19,31.2657,0.70865,1.02147,0.92872,1,0.18592,0.36186,0.25001,1.11964,3.48464,1.3759,0.000396966,0.000396966,0.000396966
20,32.3373,0.63172,0.91443,0.9011,1,0.24282,0.48376,0.3171,1.10716,3.22895,1.31444,0.000405551,0.000405551,0.000405551
21,33.5132,0.66092,0.91117,0.89168,0.94361,0.37208,0.59719,0.40308,1.03648,2.91304,1.22294,0.000412816,0.000412816,0.000412816
22,34.6489,0.64728,0.90453,0.89834,0.90961,0.44739,0.7234,0.50545,1.05503,2.53647,1.19117,0.00041876,0.00041876,0.00041876
23,35.754,0.69875,0.8896,0.92723,0.93035,0.59386,0.79097,0.55789,1.09787,2.29153,1.18813,0.000423385,0.000423385,0.000423385
24,36.8536,0.61414,0.8222,0.87401,0.9397,0.69268,0.82083,0.58147,1.06854,2.20762,1.17311,0.000426689,0.000426689,0.000426689
25,37.9004,0.70129,0.81803,0.88691,0.9336,0.73333,0.82665,0.60728,1.01595,2.03879,1.15252,0.000428672,0.000428672,0.000428672
26,39.0046,0.64827,0.81648,0.91045,0.90146,0.73333,0.83856,0.61626,0.97454,1.86665,1.13301,0.000429336,0.000429336,0.000429336
27,40.0867,0.76551,0.83155,0.89727,0.8703,0.74574,0.84107,0.61343,0.94734,1.63263,1.11286,0.000428679,0.000428679,0.000428679
28,41.1717,0.6001,0.84402,0.89131,0.8703,0.74574,0.84107,0.61343,0.94734,1.63263,1.11286,0.000426702,0.000426702,0.000426702
29,42.3069,0.62409,0.73278,0.88306,0.84191,0.77778,0.84662,0.62066,0.93689,1.42877,1.1027,0.000423405,0.000423405,0.000423405
30,43.4098,0.578,0.772,0.89879,0.78855,0.82883,0.86701,0.64113,0.9426,1.36066,1.08355,0.000418787,0.000418787,0.000418787
