epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,44.4917,0.58272,0.80335,0.9076,0.78855,0.82883,0.86701,0.64113,0.9426,1.36066,1.08355,0.000412849,0.000412849,0.000412849
32,45.644,0.62378,0.76811,0.87831,0.8579,0.80504,0.87991,0.62861,0.95005,1.26599,1.07117,0.000405591,0.000405591,0.000405591
33,46.7733,0.55605,0.69827,0.85726,0.84722,0.82222,0.90021,0.6456,0.92161,1.10454,1.04571,0.000397013,0.000397013,0.000397013
34,47.8581,0.58311,0.73345,0.86039,0.84722,0.82222,0.90021,0.6456,0.92161,1.10454,1.04571,0.000387114,0.000387114,0.000387114
35,48.8882,0.65966,0.81314,0.92293,0.87154,0.86667,0.90779,0.65306,0.90668,1.05784,1.03408,0.000375895,0.000375895,0.000375895
36,49.9762,0.50646,0.69108,0.85084,0.85586,0.86667,0.91064,0.67171,0.87865,1.02575,1.0199,0.000363356,0.000363356,0.000363356
37,51.0921,0.505,0.61557,0.84236,0.85586,0.86667,0.91064,0.67171,0.87865,1.02575,1.0199,0.000349497,0.000349497,0.000349497
38,52.2009,0.48038,0.66596,0.83779,0.84881,0.84444,0.91109,0.6715,0.9098,1.02386,1.03205,0.000334317,0.000334317,0.000334317
39,53.3185,0.51668,0.70429,0.84608,0.85229,0.84444,0.90468,0.66672,0.91641,1.02494,1.03794,0.000317817,0.000317817,0.000317817
40,54.3856,0.53933,0.68733,0.86957,0.85229,0.84444,0.90468,0.66672,0.91641,1.02494,1.03794,0.000299997,0.000299997,0.000299997
41,65.5895,0.5069,0.84033,0.85318,0.84527,0.84989,0.90046,0.66481,0.90849,1.05238,1.04612,0.000280856,0.000280856,0.000280856
42,66.7553,0.50355,0.95465,0.83338,0.87072,0.82222,0.8929,0.64223,0.91491,1.12981,1.05444,0.000260395,0.000260395,0.000260395
43,67.8322,0.57066,0.74566,0.90676,0.87072,0.82222,0.8929,0.64223,0.91491,1.12981,1.05444,0.000238614,0.000238614,0.000238614
44,68.954,0.5012,0.72664,0.86266,0.8877,0.82222,0.88043,0.63694,0.90506,1.18786,1.04774,0.000215513,0.000215513,0.000215513
45,69.9821,0.53663,0.81177,0.83822,0.8877,0.82222,0.88043,0.63694,0.90506,1.18786,1.04774,0.000191092,0.000191092,0.000191092
46,71.065,0.47441,0.69106,0.85833,0.88322,0.8,0.87289,0.63816,0.89277,1.26088,1.04254,0.00016535,0.00016535,0.00016535
47,72.1392,0.44967,0.75425,0.82386,0.88322,0.8,0.87289,0.63816,0.89277,1.26088,1.04254,0.000138288,0.000138288,0.000138288
48,73.2186,0.49121,0.6708,0.82358,0.90059,0.8,0.86816,0.6512,0.88852,1.28355,1.04164,0.000109905,0.000109905,0.000109905
49,74.2755,0.59049,0.81307,0.83826,0.90059,0.8,0.86816,0.6512,0.88852,1.28355,1.04164,8.02027e-05,8.02027e-05,8.02027e-05
50,75.3749,0.43838,0.709,0.84358,0.90488,0.8,0.86912,0.65445,0.88327,1.23228,1.04784,4.91798e-05,4.91798e-05,4.91798e-05
