epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83801,2.13592,3.66361,1.76668,0.04842,0.30492,0.03946,0.01374,1.99861,3.41644,1.49073,1.667e-05,1.667e-05,1.667e-05
2,11.7606,2.05636,3.6227,1.68988,0.0558,0.33573,0.04794,0.01863,1.9157,3.41019,1.44445,4.95149e-05,4.95149e-05,4.95149e-05
3,13.1323,1.89941,3.40627,1.61912,0.07158,0.43453,0.07757,0.03404,1.66542,3.3925,1.31859,8.16997e-05,8.16997e-05,8.16997e-05
4,14.4951,1.66284,3.45611,1.44502,0.08228,0.57132,0.09314,0.04472,1.44286,3.38215,1.22663,0.000113224,0.000113224,0.000113224
5,15.6492,1.50538,3.17853,1.35592,0.08777,0.66534,0.11446,0.05524,1.33672,3.33776,1.16196,0.000144089,0.000144089,0.000144089
6,16.858,1.36141,3.0656,1.23486,0.08992,0.70166,0.14133,0.069,1.27386,3.25237,1.10616,0.000174293,0.000174293,0.000174293
7,18.0446,1.17392,2.69861,1.12221,0.09743,0.79228,0.18233,0.09683,1.24107,3.12928,1.08071,0.000203837,0.000203837,0.000203837
8,19.2053,1.05804,2.39285,1.08765,0.09726,0.79953,0.21403,0.12064,1.17643,3.05112,1.08131,0.000232722,0.000232722,0.000232722
9,20.4206,1.11155,2.31575,1.07181,0.09865,0.80466,0.29004,0.16986,1.14076,3.00373,1.06582,0.000260946,0.000260946,0.000260946
10,21.5938,1.05762,2.09292,1.04161,0.1059,0.84271,0.39338,0.24185,1.11086,2.92026,1.03433,0.000288509,0.000288509,0.000288509
11,22.8015,1.13069,2.15576,1.07306,0.10667,0.82349,0.43004,0.27674,1.08187,2.84064,1.01675,0.000315413,0.000315413,0.000315413
12,23.9263,0.94048,1.84822,1.00399,0.10843,0.80725,0.45197,0.2904,1.08157,2.78232,1.01922,0.000341657,0.000341657,0.000341657
13,25.0086,0.91086,1.57379,0.9757,0.11082,0.82136,0.45725,0.29621,1.07013,2.73215,1.02174,0.00036724,0.00036724,0.00036724
14,26.2117,0.94269,1.65609,1.00086,0.11236,0.82435,0.44693,0.27927,1.12456,2.73247,1.05398,0.000392163,0.000392163,0.000392163
15,27.3206,0.91926,1.56212,0.98303,0.11491,0.82136,0.43772,0.2667,1.16388,2.74783,1.08462,0.000416427,0.000416427,0.000416427
16,28.4244,0.99646,1.49846,1.01708,0.11733,0.79614,0.40687,0.25095,1.15807,2.69756,1.0863,0.00044003,0.00044003,0.00044003
17,29.592,0.90389,1.40351,1.02597,0.91308,0.27035,0.42879,0.269,1.15649,2.55465,1.08281,0.000462973,0.000462973,0.000462973
18,30.6802,0.89654,1.34826,1.01162,0.93324,0.27202,0.45212,0.29001,1.16433,2.41485,1.09731,0.000485255,0.000485255,0.000485255
19,31.7736,0.75546,1.14463,0.95453,0.429,0.33533,0.48278,0.31778,1.14089,2.22509,1.08707,0.000506878,0.000506878,0.000506878
20,32.9407,0.74429,1.15239,0.94133,0.43974,0.38922,0.49709,0.33847,1.09487,2.06607,1.05734,0.000527841,0.000527841,0.000527841
21,34.0538,0.8065,1.20203,0.96837,0.50106,0.44138,0.50878,0.35266,1.05961,1.95446,1.03483,0.000548143,0.000548143,0.000548143
22,35.1279,0.7808,1.03055,0.96364,0.50968,0.45336,0.52361,0.36136,1.04427,1.83843,1.02796,0.000567785,0.000567785,0.000567785
23,36.3313,0.78337,0.99249,0.97973,0.61716,0.5378,0.63076,0.43734,1.06858,1.68147,1.04045,0.000586767,0.000586767,0.000586767
24,37.4938,0.77986,1.06759,0.93379,0.71204,0.58737,0.72697,0.50258,1.10999,1.53533,1.05483,0.000605089,0.000605089,0.000605089
25,38.6894,0.81326,0.93299,0.94452,0.80869,0.73914,0.8168,0.58485,1.09152,1.43441,1.05653,0.000622751,0.000622751,0.000622751
26,39.7815,0.75518,0.95264,0.97274,0.89665,0.75876,0.85522,0.6087,1.05736,1.33823,1.06309,0.000639753,0.000639753,0.000639753
27,40.9447,0.79,0.88793,0.94529,0.93999,0.78244,0.88283,0.62683,1.01908,1.26597,1.06518,0.000656095,0.000656095,0.000656095
28,42.0972,0.68424,0.82713,0.93629,0.93999,0.78244,0.88283,0.62683,1.01908,1.26597,1.06518,0.000671776,0.000671776,0.000671776
29,43.2273,0.71211,0.83318,0.93806,0.90927,0.81095,0.89074,0.64101,1.00402,1.25056,1.07963,0.000686797,0.000686797,0.000686797
30,44.3856,0.68911,0.80951,0.95399,0.85473,0.77598,0.8946,0.66432,0.95714,1.24787,1.06554,0.000701159,0.000701159,0.000701159
31,45.502,0.68553,0.81878,0.95905,0.85473,0.77598,0.8946,0.66432,0.95714,1.24787,1.06554,0.00071486,0.00071486,0.00071486
32,46.5847,0.6774,0.7426,0.93161,0.73978,0.82561,0.87787,0.66067,0.9469,1.19522,1.05667,0.000727901,0.000727901,0.000727901
33,47.7062,0.65582,0.74587,0.91568,0.77403,0.80978,0.87108,0.66053,0.93312,1.10643,1.0549,0.000740281,0.000740281,0.000740281
34,48.8236,0.65107,0.74682,0.91022,0.77403,0.80978,0.87108,0.66053,0.93312,1.10643,1.0549,0.000752002,0.000752002,0.000752002
35,49.9629,0.70205,0.76835,0.93511,0.81242,0.77858,0.87908,0.67394,0.92157,1.07032,1.04008,0.000763063,0.000763063,0.000763063
36,51.1127,0.58561,0.69255,0.88997,0.82994,0.80021,0.88686,0.67746,0.96294,1.08118,1.05964,0.000773463,0.000773463,0.000773463
