epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8574,2.13592,3.66361,1.76668,0.04842,0.30492,0.03946,0.01374,1.99861,3.41644,1.49073,1.667e-05,1.667e-05,1.667e-05
2,12.9004,2.05636,3.6227,1.68988,0.05382,0.32375,0.04587,0.01816,1.9149,3.41144,1.44394,4.90198e-05,4.90198e-05,4.90198e-05
3,14.3586,1.90112,3.40709,1.61982,0.07353,0.4495,0.07881,0.0341,1.66971,3.39246,1.32118,8.00493e-05,8.00493e-05,8.00493e-05
4,15.7633,1.66631,3.46021,1.44736,0.082,0.56021,0.09095,0.04421,1.43222,3.39155,1.22617,0.000109759,0.000109759,0.000109759
5,16.9627,1.50627,3.1936,1.35997,0.08568,0.61577,0.10803,0.05356,1.32107,3.35088,1.1631,0.000138148,0.000138148,0.000138148
6,18.1884,1.36548,3.08958,1.24188,0.09109,0.71065,0.1359,0.06996,1.24452,3.27898,1.10913,0.000165216,0.000165216,0.000165216
7,19.3906,1.17305,2.72983,1.1272,0.0961,0.77518,0.1529,0.08593,1.21486,3.17516,1.08033,0.000190965,0.000190965,0.000190965
8,20.548,1.05586,2.4255,1.08945,0.09832,0.78929,0.1853,0.10192,1.1812,3.10395,1.0838,0.000215393,0.000215393,0.000215393
9,21.6806,1.12202,2.36607,1.08147,0.09995,0.8004,0.23959,0.14056,1.14638,3.06101,1.07156,0.000238501,0.000238501,0.000238501
10,22.8682,1.06187,2.14066,1.04352,0.10176,0.81151,0.33756,0.20832,1.11253,2.97336,1.04148,0.000260289,0.000260289,0.000260289
11,24.1319,1.12648,2.2122,1.07892,0.10467,0.8316,0.41272,0.26254,1.08801,2.88331,1.02771,0.000280756,0.000280756,0.000280756
12,25.2748,0.93879,1.90117,1.00632,0.10865,0.85682,0.451,0.28972,1.08469,2.81391,1.02704,0.000299903,0.000299903,0.000299903
13,26.418,0.91602,1.63247,0.97694,0.10847,0.82947,0.45983,0.29325,1.06082,2.75882,1.02168,0.00031773,0.00031773,0.00031773
14,27.5827,0.93779,1.72156,1.00155,0.10864,0.79914,0.44763,0.2859,1.10359,2.74067,1.04725,0.000334237,0.000334237,0.000334237
15,28.7547,0.92011,1.63369,0.98412,0.11104,0.80725,0.43621,0.2638,1.15659,2.75128,1.08042,0.000349423,0.000349423,0.000349423
16,29.9211,0.99356,1.55339,1.01628,0.11185,0.81238,0.41607,0.2495,1.15133,2.72017,1.0794,0.000363289,0.000363289,0.000363289
17,31.0602,0.89737,1.4368,1.02068,0.40086,0.40546,0.41509,0.25548,1.16368,2.60798,1.0797,0.000375835,0.000375835,0.000375835
18,32.1649,0.90298,1.39534,1.00532,0.9264,0.2515,0.44234,0.27956,1.1518,2.47017,1.07884,0.000387061,0.000387061,0.000387061
19,33.2919,0.75383,1.19672,0.95032,0.94093,0.31287,0.47422,0.31216,1.11201,2.30063,1.05824,0.000396966,0.000396966,0.000396966
20,34.4858,0.75169,1.21341,0.93909,0.94207,0.36556,0.50018,0.34021,1.08345,2.15532,1.03367,0.000405551,0.000405551,0.000405551
21,35.6576,0.81981,1.27053,0.96618,0.45314,0.40537,0.51666,0.36158,1.05594,2.03447,1.01639,0.000412816,0.000412816,0.000412816
22,36.8153,0.78345,1.07612,0.95951,0.44431,0.43413,0.53175,0.36958,1.02973,1.95688,1.01373,0.00041876,0.00041876,0.00041876
23,38.0256,0.77793,1.05228,0.97889,0.533,0.44626,0.5548,0.38048,1.03866,1.87663,1.02609,0.000423385,0.000423385,0.000423385
24,39.2179,0.77048,1.14809,0.93438,0.85481,0.51577,0.66608,0.46092,1.07059,1.79434,1.03997,0.000426689,0.000426689,0.000426689
25,40.4132,0.80254,0.99168,0.94356,0.90257,0.57755,0.74544,0.51154,1.08168,1.70584,1.04873,0.000428672,0.000428672,0.000428672
26,41.5858,0.76024,1.01023,0.97581,0.85699,0.60819,0.78884,0.54548,1.07091,1.6223,1.05332,0.000429336,0.000429336,0.000429336
27,42.7858,0.7968,0.97102,0.94921,0.89896,0.67877,0.83447,0.58682,1.03439,1.51509,1.04385,0.000428679,0.000428679,0.000428679
28,43.9427,0.68181,0.88211,0.93323,0.89896,0.67877,0.83447,0.58682,1.03439,1.51509,1.04385,0.000426702,0.000426702,0.000426702
29,45.1274,0.72435,0.89343,0.93652,0.92787,0.77847,0.8631,0.61746,0.98403,1.41544,1.0327,0.000423405,0.000423405,0.000423405
30,46.3056,0.69168,0.86759,0.95506,0.9308,0.81894,0.88271,0.65643,0.94339,1.33981,1.02699,0.000418787,0.000418787,0.000418787
31,47.4018,0.70144,0.85492,0.95872,0.9308,0.81894,0.88271,0.65643,0.94339,1.33981,1.02699,0.000412849,0.000412849,0.000412849
32,48.5487,0.68533,0.7937,0.93262,0.93661,0.84784,0.89182,0.6721,0.92432,1.27661,1.03014,0.000405591,0.000405591,0.000405591
33,49.7773,0.66568,0.78972,0.91382,0.93709,0.83252,0.89592,0.68334,0.92368,1.21336,1.03544,0.000397013,0.000397013,0.000397013
34,50.9362,0.66022,0.79681,0.91578,0.93709,0.83252,0.89592,0.68334,0.92368,1.21336,1.03544,0.000387114,0.000387114,0.000387114
35,52.1336,0.71111,0.81289,0.93807,0.9291,0.82227,0.89533,0.67821,0.91541,1.17405,1.02537,0.000375895,0.000375895,0.000375895
36,53.3279,0.6019,0.7378,0.89499,0.92464,0.81426,0.89416,0.67773,0.91412,1.13938,1.02349,0.000363356,0.000363356,0.000363356
37,54.4751,0.61594,0.72125,0.91215,0.92464,0.81426,0.89416,0.67773,0.91412,1.13938,1.02349,0.000349497,0.000349497,0.000349497
38,55.643,0.59687,0.73086,0.91097,0.91291,0.81723,0.89324,0.68297,0.91441,1.1259,1.02618,0.000334317,0.000334317,0.000334317
39,56.8144,0.61917,0.74109,0.91195,0.88318,0.82475,0.89549,0.69222,0.91253,1.10011,1.02555,0.000317817,0.000317817,0.000317817
40,57.9984,0.61744,0.75019,0.93959,0.88318,0.82475,0.89549,0.69222,0.91253,1.10011,1.02555,0.000299997,0.000299997,0.000299997
41,69.4399,0.55554,0.88858,0.88911,0.89792,0.82151,0.89447,0.68488,0.91628,1.07286,1.03119,0.000280856,0.000280856,0.000280856
42,70.6631,0.55741,0.88808,0.86463,0.88708,0.81577,0.88382,0.67723,0.92285,1.05923,1.03787,0.000260395,0.000260395,0.000260395
43,71.7219,0.61883,0.81484,0.92676,0.88708,0.81577,0.88382,0.67723,0.92285,1.05923,1.03787,0.000238614,0.000238614,0.000238614
